timestamp,pressure,flow_rate,vibration_rms
2026-08-12T08:00:00+00:00,4.44,127.61,1.54
2026-08-12T09:00:00+00:00,4.45,119.47,1.62
2026-08-12T10:00:00+00:00,4.55,124.76,1.51
2026-08-12T11:00:00+00:00,4.48,118.06,1.58
2026-08-12T12:00:00+00:00,4.47,120.49,1.38
2026-08-12T13:00:00+00:00,4.33,114.99,1.53
2026-08-12T14:00:00+00:00,4.50,118.85,2.06
2026-08-12T15:00:00+00:00,4.43,122.95,1.59
2026-08-12T16:00:00+00:00,4.67,116.24,1.55
2026-08-12T17:00:00+00:00,4.60,123.22,1.71
2026-08-12T18:00:00+00:00,4.50,121.01,1.74
2026-08-12T19:00:00+00:00,4.60,116.87,1.38
2026-08-12T20:00:00+00:00,4.45,118.50,1.56
2026-08-12T21:00:00+00:00,4.66,118.62,1.78
2026-08-12T22:00:00+00:00,4.50,119.85,1.65
2026-08-12T23:00:00+00:00,4.59,118.39,1.62
2026-08-13T00:00:00+00:00,4.31,117.52,1.91
2026-08-13T01:00:00+00:00,4.55,119.09,1.46
2026-08-13T02:00:00+00:00,4.25,116.92,1.62
2026-08-13T03:00:00+00:00,4.19,116.13,1.50
2026-08-13T04:00:00+00:00,4.45,119.86,1.90
2026-08-13T05:00:00+00:00,4.37,122.65,1.21
2026-08-13T06:00:00+00:00,4.52,115.41,1.47
2026-08-13T07:00:00+00:00,4.84,120.01,1.49
2026-08-13T08:00:00+00:00,4.38,118.05,1.73
2026-08-13T09:00:00+00:00,4.41,117.07,1.72
2026-08-13T10:00:00+00:00,4.53,122.56,1.88
2026-08-13T11:00:00+00:00,4.57,118.45,1.29
2026-08-13T12:00:00+00:00,4.47,124.49,1.75
2026-08-13T13:00:00+00:00,4.47,117.66,1.54
2026-08-13T14:00:00+00:00,4.61,121.16,1.47
2026-08-13T15:00:00+00:00,4.58,119.32,1.71
2026-08-13T16:00:00+00:00,4.34,117.74,1.42
2026-08-13T17:00:00+00:00,4.49,121.76,1.18
2026-08-13T18:00:00+00:00,4.51,119.54,1.53
2026-08-13T19:00:00+00:00,4.34,121.81,1.30
2026-08-13T20:00:00+00:00,4.54,119.86,1.47
2026-08-13T21:00:00+00:00,4.37,116.74,1.67
2026-08-13T22:00:00+00:00,4.65,119.69,1.66
2026-08-13T23:00:00+00:00,4.53,120.16,1.92
2026-08-14T00:00:00+00:00,4.51,122.88,1.56
2026-08-14T01:00:00+00:00,4.41,117.28,1.29
2026-08-14T02:00:00+00:00,4.48,119.88,1.45
2026-08-14T03:00:00+00:00,4.20,114.83,1.42
2026-08-14T04:00:00+00:00,4.33,121.95,1.36
2026-08-14T05:00:00+00:00,4.55,116.76,1.69
2026-08-14T06:00:00+00:00,4.18,114.58,1.47
2026-08-14T07:00:00+00:00,4.63,119.82,1.20
2026-08-14T08:00:00+00:00,4.24,123.32,1.74
2026-08-14T09:00:00+00:00,4.61,115.43,1.58
2026-08-14T10:00:00+00:00,4.37,116.74,1.67
2026-08-14T11:00:00+00:00,4.62,117.77,1.62
2026-08-14T12:00:00+00:00,4.52,116.61,1.73
2026-08-14T13:00:00+00:00,4.27,121.14,1.61
2026-08-14T14:00:00+00:00,4.69,117.58,1.85
2026-08-14T15:00:00+00:00,4.72,117.84,1.68
2026-08-14T16:00:00+00:00,4.49,121.75,1.68
2026-08-14T17:00:00+00:00,4.46,117.73,1.68
2026-08-14T18:00:00+00:00,4.48,121.30,1.31
2026-08-14T19:00:00+00:00,4.35,117.09,1.57
2026-08-14T20:00:00+00:00,4.66,116.36,1.55
2026-08-14T21:00:00+00:00,4.42,114.49,1.64
2026-08-14T22:00:00+00:00,4.49,125.58,1.33
2026-08-14T23:00:00+00:00,4.38,119.04,1.93
2026-08-15T00:00:00+00:00,4.41,120.73,1.62
2026-08-15T01:00:00+00:00,4.31,119.91,1.36
2026-08-15T02:00:00+00:00,4.69,120.48,1.26
2026-08-15T03:00:00+00:00,4.48,120.15,1.54
2026-08-15T04:00:00+00:00,4.64,125.72,1.58
2026-08-15T05:00:00+00:00,4.50,116.88,1.46
2026-08-15T06:00:00+00:00,4.40,115.33,1.62
2026-08-15T07:00:00+00:00,4.45,116.96,1.47
2026-08-15T08:00:00+00:00,4.42,116.00,1.71
2026-08-15T09:00:00+00:00,4.50,122.24,1.46
2026-08-15T10:00:00+00:00,4.44,122.46,1.59
2026-08-15T11:00:00+00:00,4.46,117.12,1.80
2026-08-15T12:00:00+00:00,4.29,115.83,2.11
2026-08-15T13:00:00+00:00,4.38,118.94,1.40
2026-08-15T14:00:00+00:00,4.75,124.17,1.51
2026-08-15T15:00:00+00:00,4.40,111.54,1.43
2026-08-15T16:00:00+00:00,4.34,121.58,1.76
2026-08-15T17:00:00+00:00,4.55,116.77,1.37
2026-08-15T18:00:00+00:00,4.71,123.12,1.50
2026-08-15T19:00:00+00:00,4.28,116.77,1.59
2026-08-15T20:00:00+00:00,4.47,119.14,1.40
2026-08-15T21:00:00+00:00,4.41,115.48,1.41
2026-08-15T22:00:00+00:00,4.24,117.07,1.50
2026-08-15T23:00:00+00:00,4.61,124.16,1.18
2026-08-16T00:00:00+00:00,4.50,122.46,1.31
2026-08-16T01:00:00+00:00,4.51,118.79,1.52
2026-08-16T02:00:00+00:00,4.39,117.39,1.63
2026-08-16T03:00:00+00:00,4.57,114.32,1.56
2026-08-16T04:00:00+00:00,4.42,118.82,1.25
2026-08-16T05:00:00+00:00,4.48,119.91,1.51
2026-08-16T06:00:00+00:00,4.33,119.75,1.76
2026-08-16T07:00:00+00:00,4.32,119.72,1.71
2026-08-16T08:00:00+00:00,4.70,116.63,1.58
2026-08-16T09:00:00+00:00,4.42,119.80,1.42
2026-08-16T10:00:00+00:00,4.54,119.88,1.73
2026-08-16T11:00:00+00:00,4.49,123.87,1.48
2026-08-16T12:00:00+00:00,4.43,125.60,1.37
2026-08-16T13:00:00+00:00,4.42,119.59,1.44
2026-08-16T14:00:00+00:00,4.59,117.70,1.89
2026-08-16T15:00:00+00:00,4.45,119.81,1.64
2026-08-16T16:00:00+00:00,4.48,118.18,1.83
2026-08-16T17:00:00+00:00,4.50,117.77,1.50
2026-08-16T18:00:00+00:00,4.68,119.82,1.79
2026-08-16T19:00:00+00:00,4.60,116.87,1.48
2026-08-16T20:00:00+00:00,4.56,121.82,1.57
2026-08-16T21:00:00+00:00,4.42,119.69,2.10
2026-08-16T22:00:00+00:00,4.29,120.75,1.75
2026-08-16T23:00:00+00:00,4.64,119.45,1.50
2026-08-17T00:00:00+00:00,4.64,117.82,1.58
2026-08-17T01:00:00+00:00,4.48,117.16,1.67
2026-08-17T02:00:00+00:00,4.58,119.29,1.84
2026-08-17T03:00:00+00:00,4.62,118.35,1.50
2026-08-17T04:00:00+00:00,4.62,120.70,1.25
2026-08-17T05:00:00+00:00,4.64,119.99,1.54
2026-08-17T06:00:00+00:00,4.43,115.91,1.60
2026-08-17T07:00:00+00:00,4.73,120.20,1.62
2026-08-17T08:00:00+00:00,4.31,115.97,1.86
2026-08-17T09:00:00+00:00,4.63,118.15,1.66
2026-08-17T10:00:00+00:00,4.57,119.12,1.76
2026-08-17T11:00:00+00:00,4.63,113.77,1.38
2026-08-17T12:00:00+00:00,4.78,120.27,1.77
2026-08-17T13:00:00+00:00,4.72,120.45,2.02
2026-08-17T14:00:00+00:00,4.33,119.53,1.75
2026-08-17T15:00:00+00:00,4.25,118.73,1.65
2026-08-17T16:00:00+00:00,4.62,118.88,1.63
2026-08-17T17:00:00+00:00,4.35,117.07,1.96
2026-08-17T18:00:00+00:00,4.50,119.19,1.41
2026-08-17T19:00:00+00:00,4.63,118.34,1.58
2026-08-17T20:00:00+00:00,4.25,120.28,1.69
2026-08-17T21:00:00+00:00,4.18,116.39,1.75
2026-08-17T22:00:00+00:00,4.54,120.71,1.51
2026-08-17T23:00:00+00:00,4.51,120.43,1.66
2026-08-18T00:00:00+00:00,4.46,119.58,1.54
2026-08-18T01:00:00+00:00,4.51,118.68,1.62
2026-08-18T02:00:00+00:00,4.37,121.66,1.57
2026-08-18T03:00:00+00:00,4.27,115.01,1.37
2026-08-18T04:00:00+00:00,4.48,121.38,1.60
2026-08-18T05:00:00+00:00,4.35,120.73,1.78
2026-08-18T06:00:00+00:00,4.25,120.85,1.41
2026-08-18T07:00:00+00:00,4.58,121.15,1.55
2026-08-18T08:00:00+00:00,4.49,118.04,1.73
2026-08-18T09:00:00+00:00,4.56,119.22,1.39
2026-08-18T10:00:00+00:00,4.35,121.91,1.64
2026-08-18T11:00:00+00:00,4.40,121.29,1.39
2026-08-18T12:00:00+00:00,4.35,120.62,1.83
2026-08-18T13:00:00+00:00,4.37,115.46,2.06
2026-08-18T14:00:00+00:00,4.53,121.61,2.00
2026-08-18T15:00:00+00:00,4.38,123.51,1.56
2026-08-18T16:00:00+00:00,4.55,123.03,1.75
2026-08-18T17:00:00+00:00,4.55,120.70,1.62
2026-08-18T18:00:00+00:00,4.80,115.33,1.62
2026-08-18T19:00:00+00:00,4.29,122.83,1.91
2026-08-18T20:00:00+00:00,4.63,119.56,1.34
2026-08-18T21:00:00+00:00,4.49,112.40,1.81
2026-08-18T22:00:00+00:00,4.50,121.13,1.59
2026-08-18T23:00:00+00:00,4.28,115.52,1.88
2026-08-19T00:00:00+00:00,4.43,116.11,1.64
2026-08-19T01:00:00+00:00,4.61,118.10,1.47
2026-08-19T02:00:00+00:00,4.49,123.82,1.66
2026-08-19T03:00:00+00:00,4.51,118.89,1.75
2026-08-19T04:00:00+00:00,4.46,120.81,1.61
2026-08-19T05:00:00+00:00,4.67,125.24,1.70
2026-08-19T06:00:00+00:00,4.50,124.78,1.50
2026-08-19T07:00:00+00:00,4.17,119.69,1.17
2026-08-19T08:00:00+00:00,4.40,119.28,1.78
2026-08-19T09:00:00+00:00,4.20,116.22,1.74
2026-08-19T10:00:00+00:00,4.01,117.92,1.63
2026-08-19T11:00:00+00:00,4.42,121.28,1.61
2026-08-19T12:00:00+00:00,4.70,121.19,1.81
2026-08-19T13:00:00+00:00,4.51,120.33,1.51
2026-08-19T14:00:00+00:00,4.32,122.98,1.46
2026-08-19T15:00:00+00:00,4.36,117.68,1.56
2026-08-19T16:00:00+00:00,4.67,119.83,1.84
2026-08-19T17:00:00+00:00,4.52,122.19,1.32
2026-08-19T18:00:00+00:00,4.51,121.75,1.84
2026-08-19T19:00:00+00:00,4.49,123.21,1.47
2026-08-19T20:00:00+00:00,4.51,121.19,1.38
2026-08-19T21:00:00+00:00,4.62,119.07,1.85
2026-08-19T22:00:00+00:00,4.58,121.09,1.58
2026-08-19T23:00:00+00:00,4.53,116.99,1.34
2026-08-20T00:00:00+00:00,4.34,115.08,1.53
2026-08-20T01:00:00+00:00,4.58,121.74,1.79
2026-08-20T02:00:00+00:00,4.40,119.83,1.84
2026-08-20T03:00:00+00:00,4.66,120.93,1.51
2026-08-20T04:00:00+00:00,4.31,114.91,1.68
2026-08-20T05:00:00+00:00,4.48,118.90,1.74
2026-08-20T06:00:00+00:00,4.50,118.20,1.47
2026-08-20T07:00:00+00:00,4.30,117.41,1.67
2026-08-20T08:00:00+00:00,4.76,113.23,1.59
2026-08-20T09:00:00+00:00,4.72,119.00,1.49
2026-08-20T10:00:00+00:00,4.43,122.69,1.50
2026-08-20T11:00:00+00:00,4.62,121.14,1.61
2026-08-20T12:00:00+00:00,4.56,118.20,1.61
2026-08-20T13:00:00+00:00,4.11,119.96,1.49
2026-08-20T14:00:00+00:00,4.54,122.27,1.51
2026-08-20T15:00:00+00:00,4.49,111.72,1.82
2026-08-20T16:00:00+00:00,4.51,119.63,1.64
2026-08-20T17:00:00+00:00,4.34,121.63,1.78
2026-08-20T18:00:00+00:00,4.46,122.05,1.84
2026-08-20T19:00:00+00:00,4.47,125.10,1.72
2026-08-20T20:00:00+00:00,4.68,123.41,2.05
2026-08-20T21:00:00+00:00,4.55,120.94,1.43
2026-08-20T22:00:00+00:00,4.50,120.91,1.76
2026-08-20T23:00:00+00:00,4.73,122.36,1.54
2026-08-21T00:00:00+00:00,4.42,118.38,1.97
2026-08-21T01:00:00+00:00,4.44,119.88,1.94
2026-08-21T02:00:00+00:00,4.23,122.72,1.21
2026-08-21T03:00:00+00:00,4.74,125.87,1.41
2026-08-21T04:00:00+00:00,4.64,119.52,1.73
2026-08-21T05:00:00+00:00,4.64,119.85,1.76
2026-08-21T06:00:00+00:00,4.60,120.60,1.75
2026-08-21T07:00:00+00:00,4.52,124.03,1.59
2026-08-21T08:00:00+00:00,4.53,119.91,1.69
2026-08-21T09:00:00+00:00,4.46,124.41,1.73
2026-08-21T10:00:00+00:00,4.47,117.10,1.58
2026-08-21T11:00:00+00:00,4.51,119.44,1.81
2026-08-21T12:00:00+00:00,4.73,119.41,1.15
2026-08-21T13:00:00+00:00,4.58,122.36,1.73
2026-08-21T14:00:00+00:00,4.49,123.14,1.39
2026-08-21T15:00:00+00:00,4.41,115.47,1.79
2026-08-21T16:00:00+00:00,4.40,117.25,1.55
2026-08-21T17:00:00+00:00,4.74,121.01,1.42
2026-08-21T18:00:00+00:00,4.58,118.02,1.67
2026-08-21T19:00:00+00:00,4.51,115.43,1.42
2026-08-21T20:00:00+00:00,4.45,123.12,1.42
2026-08-21T21:00:00+00:00,4.33,121.48,1.29
2026-08-21T22:00:00+00:00,4.49,121.48,1.59
2026-08-21T23:00:00+00:00,4.63,118.57,1.70
2026-08-22T00:00:00+00:00,4.44,123.09,1.80
2026-08-22T01:00:00+00:00,4.47,119.28,1.57
2026-08-22T02:00:00+00:00,4.47,123.29,1.81
2026-08-22T03:00:00+00:00,4.52,117.27,1.60
2026-08-22T04:00:00+00:00,4.26,117.44,1.58
2026-08-22T05:00:00+00:00,4.46,120.61,1.71
2026-08-22T06:00:00+00:00,4.37,117.89,1.81
2026-08-22T07:00:00+00:00,4.63,122.03,1.53
2026-08-22T08:00:00+00:00,4.38,120.78,1.55
2026-08-22T09:00:00+00:00,4.59,117.23,1.57
2026-08-22T10:00:00+00:00,4.73,120.22,1.62
2026-08-22T11:00:00+00:00,4.45,118.95,1.42
2026-08-22T12:00:00+00:00,4.41,122.75,1.81
2026-08-22T13:00:00+00:00,4.53,118.10,1.52
2026-08-22T14:00:00+00:00,4.50,118.68,1.69
2026-08-22T15:00:00+00:00,4.35,123.63,1.43
2026-08-22T16:00:00+00:00,4.57,126.72,1.67
2026-08-22T17:00:00+00:00,4.80,126.00,1.68
2026-08-22T18:00:00+00:00,4.46,120.19,1.52
2026-08-22T19:00:00+00:00,4.47,120.66,2.00
2026-08-22T20:00:00+00:00,4.34,124.60,1.67
2026-08-22T21:00:00+00:00,4.55,119.63,1.96
2026-08-22T22:00:00+00:00,4.31,117.07,1.79
2026-08-22T23:00:00+00:00,4.33,120.35,1.47
