timestamp,belt_speed,motor_current,vibration_rms
2026-08-10T21:00:00+00:00,1.21,12.37,1.05
2026-08-10T22:00:00+00:00,1.21,13.00,1.07
2026-08-10T23:00:00+00:00,1.18,13.47,0.89
2026-08-11T00:00:00+00:00,1.22,11.88,1.07
2026-08-11T01:00:00+00:00,1.24,12.39,1.20
2026-08-11T02:00:00+00:00,1.20,12.33,0.84
2026-08-11T03:00:00+00:00,1.22,12.97,1.18
2026-08-11T04:00:00+00:00,1.20,12.67,0.98
2026-08-11T05:00:00+00:00,1.23,13.12,1.02
2026-08-11T06:00:00+00:00,1.22,12.10,1.09
2026-08-11T07:00:00+00:00,1.23,12.51,1.11
2026-08-11T08:00:00+00:00,1.21,12.32,1.28
2026-08-11T09:00:00+00:00,1.25,12.06,1.05
2026-08-11T10:00:00+00:00,1.19,12.44,1.33
2026-08-11T11:00:00+00:00,1.19,12.03,1.08
2026-08-11T12:00:00+00:00,1.18,13.37,1.15
2026-08-11T13:00:00+00:00,1.22,12.67,1.18
2026-08-11T14:00:00+00:00,1.18,12.09,0.98
2026-08-11T15:00:00+00:00,1.18,12.26,0.91
2026-08-11T16:00:00+00:00,1.22,13.19,1.09
2026-08-11T17:00:00+00:00,1.23,12.31,1.18
2026-08-11T18:00:00+00:00,1.22,12.78,1.21
2026-08-11T19:00:00+00:00,1.12,12.73,1.03
2026-08-11T20:00:00+00:00,1.17,12.94,1.34
2026-08-11T21:00:00+00:00,1.17,12.75,1.06
2026-08-11T22:00:00+00:00,1.16,12.42,0.98
2026-08-11T23:00:00+00:00,1.19,12.26,1.26
2026-08-12T00:00:00+00:00,1.25,11.79,1.27
2026-08-12T01:00:00+00:00,1.19,12.48,0.95
2026-08-12T02:00:00+00:00,1.18,12.56,1.21
2026-08-12T03:00:00+00:00,1.22,12.36,0.90
2026-08-12T04:00:00+00:00,1.20,12.44,1.10
2026-08-12T05:00:00+00:00,1.20,12.01,1.43
2026-08-12T06:00:00+00:00,1.18,13.37,1.29
2026-08-12T07:00:00+00:00,1.20,12.30,1.20
2026-08-12T08:00:00+00:00,1.21,12.09,1.19
2026-08-12T09:00:00+00:00,1.14,12.26,0.98
2026-08-12T10:00:00+00:00,1.15,12.43,1.15
2026-08-12T11:00:00+00:00,1.23,12.80,1.17
2026-08-12T12:00:00+00:00,1.23,11.53,0.95
2026-08-12T13:00:00+00:00,1.18,12.71,1.13
2026-08-12T14:00:00+00:00,1.17,12.25,1.18
2026-08-12T15:00:00+00:00,1.19,12.43,1.14
2026-08-12T16:00:00+00:00,1.16,12.91,1.17
2026-08-12T17:00:00+00:00,1.19,12.81,1.07
2026-08-12T18:00:00+00:00,1.25,12.23,0.94
2026-08-12T19:00:00+00:00,1.20,12.46,1.11
2026-08-12T20:00:00+00:00,1.23,13.25,0.82
2026-08-12T21:00:00+00:00,1.19,13.05,1.00
2026-08-12T22:00:00+00:00,1.21,12.85,1.27
2026-08-12T23:00:00+00:00,1.24,12.50,1.37
2026-08-13T00:00:00+00:00,1.16,12.89,1.17
2026-08-13T01:00:00+00:00,1.19,12.66,0.75
2026-08-13T02:00:00+00:00,1.20,12.28,1.31
2026-08-13T03:00:00+00:00,1.21,12.10,1.19
2026-08-13T04:00:00+00:00,1.25,12.71,1.08
2026-08-13T05:00:00+00:00,1.22,12.65,1.22
2026-08-13T06:00:00+00:00,1.16,12.98,1.19
2026-08-13T07:00:00+00:00,1.19,12.31,0.93
2026-08-13T08:00:00+00:00,1.17,13.06,0.91
2026-08-13T09:00:00+00:00,1.17,12.36,1.26
2026-08-13T10:00:00+00:00,1.26,13.00,0.76
2026-08-13T11:00:00+00:00,1.17,12.72,1.20
2026-08-13T12:00:00+00:00,1.21,12.27,1.16
2026-08-13T13:00:00+00:00,1.18,12.12,1.26
2026-08-13T14:00:00+00:00,1.23,12.45,1.37
2026-08-13T15:00:00+00:00,1.21,12.40,1.31
2026-08-13T16:00:00+00:00,1.20,12.88,1.34
2026-08-13T17:00:00+00:00,1.20,12.22,1.23
2026-08-13T18:00:00+00:00,1.23,11.91,1.19
2026-08-13T19:00:00+00:00,1.17,12.49,1.27
2026-08-13T20:00:00+00:00,1.18,13.27,1.11
2026-08-13T21:00:00+00:00,1.17,13.16,0.97
2026-08-13T22:00:00+00:00,1.24,12.25,1.10
2026-08-13T23:00:00+00:00,1.19,12.39,0.87
2026-08-14T00:00:00+00:00,1.17,12.63,1.03
2026-08-14T01:00:00+00:00,1.19,12.24,1.42
2026-08-14T02:00:00+00:00,1.27,12.40,1.19
2026-08-14T03:00:00+00:00,1.20,12.39,1.08
2026-08-14T04:00:00+00:00,1.23,12.08,1.02
2026-08-14T05:00:00+00:00,1.21,12.25,0.85
2026-08-14T06:00:00+00:00,1.20,12.31,1.03
2026-08-14T07:00:00+00:00,1.18,12.60,0.99
2026-08-14T08:00:00+00:00,1.19,12.03,1.11
2026-08-14T09:00:00+00:00,1.19,12.54,1.12
2026-08-14T10:00:00+00:00,1.13,12.11,1.10
2026-08-14T11:00:00+00:00,1.28,12.18,0.82
2026-08-14T12:00:00+00:00,1.23,12.05,1.33
2026-08-14T13:00:00+00:00,1.20,14.11,1.17
2026-08-14T14:00:00+00:00,1.19,13.00,1.11
2026-08-14T15:00:00+00:00,1.18,13.04,1.06
2026-08-14T16:00:00+00:00,1.23,12.83,1.17
2026-08-14T17:00:00+00:00,1.19,12.41,1.29
2026-08-14T18:00:00+00:00,1.21,12.53,1.20
2026-08-14T19:00:00+00:00,1.16,12.62,0.93
2026-08-14T20:00:00+00:00,1.21,12.68,0.92
2026-08-14T21:00:00+00:00,1.26,12.74,0.75
2026-08-14T22:00:00+00:00,1.19,13.11,1.12
2026-08-14T23:00:00+00:00,1.22,11.32,1.21
2026-08-15T00:00:00+00:00,1.20,12.28,1.29
2026-08-15T01:00:00+00:00,1.23,12.77,1.12
2026-08-15T02:00:00+00:00,1.23,12.36,1.23
2026-08-15T03:00:00+00:00,1.20,12.44,0.97
2026-08-15T04:00:00+00:00,1.18,13.10,1.18
2026-08-15T05:00:00+00:00,1.21,12.58,1.08
2026-08-15T06:00:00+00:00,1.20,13.21,1.00
2026-08-15T07:00:00+00:00,1.18,12.48,0.85
2026-08-15T08:00:00+00:00,1.21,12.60,1.27
2026-08-15T09:00:00+00:00,1.21,12.07,0.76
2026-08-15T10:00:00+00:00,1.17,11.71,1.19
2026-08-15T11:00:00+00:00,1.20,12.33,0.98
2026-08-15T12:00:00+00:00,1.29,12.53,1.19
2026-08-15T13:00:00+00:00,1.22,12.36,1.02
2026-08-15T14:00:00+00:00,1.20,11.96,1.21
2026-08-15T15:00:00+00:00,1.28,12.76,1.07
2026-08-15T16:00:00+00:00,1.19,12.53,0.94
2026-08-15T17:00:00+00:00,1.13,12.50,1.02
2026-08-15T18:00:00+00:00,1.14,12.19,0.86
2026-08-15T19:00:00+00:00,1.15,13.16,1.14
2026-08-15T20:00:00+00:00,1.21,13.09,1.26
2026-08-15T21:00:00+00:00,1.23,12.62,1.16
2026-08-15T22:00:00+00:00,1.13,12.45,1.12
2026-08-15T23:00:00+00:00,1.23,12.60,1.29
2026-08-16T00:00:00+00:00,1.16,13.18,0.92
2026-08-16T01:00:00+00:00,1.21,13.62,1.18
2026-08-16T02:00:00+00:00,1.21,12.51,1.10
2026-08-16T03:00:00+00:00,1.21,12.33,1.03
2026-08-16T04:00:00+00:00,1.20,11.78,1.18
2026-08-16T05:00:00+00:00,1.21,13.62,0.93
2026-08-16T06:00:00+00:00,1.17,12.06,1.08
2026-08-16T07:00:00+00:00,1.21,12.85,1.15
2026-08-16T08:00:00+00:00,1.23,12.70,0.92
2026-08-16T09:00:00+00:00,1.23,13.03,1.06
2026-08-16T10:00:00+00:00,1.28,12.16,1.18
2026-08-16T11:00:00+00:00,1.23,11.85,1.24
2026-08-16T12:00:00+00:00,1.22,12.56,0.96
2026-08-16T13:00:00+00:00,1.25,12.67,1.23
2026-08-16T14:00:00+00:00,1.21,12.96,1.06
2026-08-16T15:00:00+00:00,1.16,11.83,1.11
2026-08-16T16:00:00+00:00,1.13,12.32,1.02
2026-08-16T17:00:00+00:00,1.24,12.40,1.22
2026-08-16T18:00:00+00:00,1.22,11.96,0.99
2026-08-16T19:00:00+00:00,1.23,12.44,1.14
2026-08-16T20:00:00+00:00,1.19,12.82,1.16
2026-08-16T21:00:00+00:00,1.21,12.49,1.21
2026-08-16T22:00:00+00:00,1.26,11.92,0.94
2026-08-16T23:00:00+00:00,1.21,12.64,1.22
2026-08-17T00:00:00+00:00,1.17,12.84,1.10
2026-08-17T01:00:00+00:00,1.19,12.72,1.32
2026-08-17T02:00:00+00:00,1.24,12.82,1.05
2026-08-17T03:00:00+00:00,1.17,11.84,1.01
2026-08-17T04:00:00+00:00,1.12,12.69,1.09
2026-08-17T05:00:00+00:00,1.13,12.74,1.05
2026-08-17T06:00:00+00:00,1.16,12.35,1.07
2026-08-17T07:00:00+00:00,1.22,12.48,0.91
2026-08-17T08:00:00+00:00,1.20,12.19,0.79
2026-08-17T09:00:00+00:00,1.18,13.00,0.88
2026-08-17T10:00:00+00:00,1.16,12.38,1.01
2026-08-17T11:00:00+00:00,1.20,12.12,1.16
2026-08-17T12:00:00+00:00,1.20,12.58,1.05
2026-08-17T13:00:00+00:00,1.18,12.55,0.95
2026-08-17T14:00:00+00:00,1.19,12.77,1.08
2026-08-17T15:00:00+00:00,1.18,12.17,1.11
2026-08-17T16:00:00+00:00,1.25,12.23,1.51
2026-08-17T17:00:00+00:00,1.13,12.65,1.29
2026-08-17T18:00:00+00:00,1.20,13.40,1.13
2026-08-17T19:00:00+00:00,1.17,12.69,0.88
2026-08-17T20:00:00+00:00,1.22,11.96,1.07
2026-08-17T21:00:00+00:00,1.19,12.57,1.05
2026-08-17T22:00:00+00:00,1.21,12.19,1.18
2026-08-17T23:00:00+00:00,1.22,11.76,1.42
2026-08-18T00:00:00+00:00,1.21,12.23,1.09
2026-08-18T01:00:00+00:00,1.23,12.27,0.80
2026-08-18T02:00:00+00:00,1.16,12.67,1.08
2026-08-18T03:00:00+00:00,1.23,13.03,0.85
2026-08-18T04:00:00+00:00,1.19,12.96,1.22
2026-08-18T05:00:00+00:00,1.21,12.83,1.26
2026-08-18T06:00:00+00:00,1.25,12.33,1.15
2026-08-18T07:00:00+00:00,1.23,12.56,0.88
2026-08-18T08:00:00+00:00,1.26,12.49,1.07
2026-08-18T09:00:00+00:00,1.13,13.07,1.28
2026-08-18T10:00:00+00:00,1.17,12.24,0.95
2026-08-18T11:00:00+00:00,1.23,12.28,1.01
2026-08-18T12:00:00+00:00,1.17,13.10,1.14
2026-08-18T13:00:00+00:00,1.19,12.73,1.17
2026-08-18T14:00:00+00:00,1.25,12.32,1.11
2026-08-18T15:00:00+00:00,1.23,12.57,1.15
2026-08-18T16:00:00+00:00,1.17,12.56,1.13
2026-08-18T17:00:00+00:00,1.21,12.58,1.01
2026-08-18T18:00:00+00:00,1.22,12.82,1.09
2026-08-18T19:00:00+00:00,1.20,12.65,1.14
2026-08-18T20:00:00+00:00,1.20,12.43,0.94
2026-08-18T21:00:00+00:00,1.20,12.30,1.13
2026-08-18T22:00:00+00:00,1.15,11.81,1.11
2026-08-18T23:00:00+00:00,1.20,12.33,1.17
2026-08-19T00:00:00+00:00,1.17,12.96,1.15
2026-08-19T01:00:00+00:00,1.21,12.59,0.94
2026-08-19T02:00:00+00:00,1.21,12.24,0.91
2026-08-19T03:00:00+00:00,1.17,12.40,1.14
2026-08-19T04:00:00+00:00,1.22,12.16,1.08
2026-08-19T05:00:00+00:00,1.21,12.62,1.12
2026-08-19T06:00:00+00:00,1.20,13.31,1.02
2026-08-19T07:00:00+00:00,1.22,13.23,0.91
2026-08-19T08:00:00+00:00,1.19,12.98,1.14
2026-08-19T09:00:00+00:00,1.19,12.82,1.08
2026-08-19T10:00:00+00:00,1.20,12.41,1.19
2026-08-19T11:00:00+00:00,1.20,12.01,1.26
2026-08-19T12:00:00+00:00,1.23,12.51,1.26
2026-08-19T13:00:00+00:00,1.13,12.32,1.25
2026-08-19T14:00:00+00:00,1.19,12.84,0.96
2026-08-19T15:00:00+00:00,1.14,12.57,0.78
2026-08-19T16:00:00+00:00,1.18,12.27,1.01
2026-08-19T17:00:00+00:00,1.21,12.69,0.92
2026-08-19T18:00:00+00:00,1.20,13.67,0.90
2026-08-19T19:00:00+00:00,1.23,12.14,1.20
2026-08-19T20:00:00+00:00,1.21,12.96,0.86
2026-08-19T21:00:00+00:00,1.12,12.74,1.24
2026-08-19T22:00:00+00:00,1.17,12.47,1.26
2026-08-19T23:00:00+00:00,1.25,12.20,1.50
2026-08-20T00:00:00+00:00,1.25,12.51,1.25
2026-08-20T01:00:00+00:00,1.20,12.59,1.41
2026-08-20T02:00:00+00:00,1.15,12.81,1.00
2026-08-20T03:00:00+00:00,1.26,12.79,1.00
2026-08-20T04:00:00+00:00,1.14,12.63,1.25
2026-08-20T05:00:00+00:00,1.21,12.23,0.90
2026-08-20T06:00:00+00:00,1.20,12.63,1.27
2026-08-20T07:00:00+00:00,1.21,12.32,1.06
2026-08-20T08:00:00+00:00,1.16,12.09,0.80
2026-08-20T09:00:00+00:00,1.19,12.86,1.38
2026-08-20T10:00:00+00:00,1.23,12.24,0.93
2026-08-20T11:00:00+00:00,1.18,12.03,1.47
2026-08-20T12:00:00+00:00,1.16,12.54,0.88
2026-08-20T13:00:00+00:00,1.20,11.73,0.97
2026-08-20T14:00:00+00:00,1.20,12.48,1.13
2026-08-20T15:00:00+00:00,1.19,12.68,1.10
2026-08-20T16:00:00+00:00,1.17,12.34,0.86
2026-08-20T17:00:00+00:00,1.21,12.60,1.12
2026-08-20T18:00:00+00:00,1.19,13.37,1.13
2026-08-20T19:00:00+00:00,1.16,13.07,1.17
2026-08-20T20:00:00+00:00,1.20,12.88,0.86
2026-08-20T21:00:00+00:00,1.20,12.74,1.01
2026-08-20T22:00:00+00:00,1.20,12.30,1.08
2026-08-20T23:00:00+00:00,1.15,12.45,1.22
2026-08-21T00:00:00+00:00,1.17,12.39,1.12
2026-08-21T01:00:00+00:00,1.21,12.51,1.05
2026-08-21T02:00:00+00:00,1.23,12.55,1.04
2026-08-21T03:00:00+00:00,1.21,12.18,1.32
2026-08-21T04:00:00+00:00,1.20,13.15,0.98
2026-08-21T05:00:00+00:00,1.22,12.08,1.14
2026-08-21T06:00:00+00:00,1.23,12.65,0.77
2026-08-21T07:00:00+00:00,1.25,12.92,1.35
2026-08-21T08:00:00+00:00,1.21,12.49,1.17
2026-08-21T09:00:00+00:00,1.18,12.23,0.84
2026-08-21T10:00:00+00:00,1.21,12.51,1.19
2026-08-21T11:00:00+00:00,1.14,13.28,1.31
2026-08-21T12:00:00+00:00,1.20,12.75,1.22
2026-08-21T13:00:00+00:00,1.19,12.38,1.11
2026-08-21T14:00:00+00:00,1.20,12.73,1.23
2026-08-21T15:00:00+00:00,1.21,12.42,0.99
2026-08-21T16:00:00+00:00,1.20,11.75,1.06
2026-08-21T17:00:00+00:00,1.16,12.60,1.05
2026-08-21T18:00:00+00:00,1.19,12.92,1.11
2026-08-21T19:00:00+00:00,1.18,12.96,0.94
2026-08-21T20:00:00+00:00,1.20,12.47,1.31
2026-08-21T21:00:00+00:00,1.21,11.93,1.08
2026-08-21T22:00:00+00:00,1.17,12.98,0.94
2026-08-21T23:00:00+00:00,1.22,12.44,1.07
2026-08-22T00:00:00+00:00,1.24,12.80,1.15
2026-08-22T01:00:00+00:00,1.19,12.95,1.11
2026-08-22T02:00:00+00:00,1.22,12.64,1.26
2026-08-22T03:00:00+00:00,1.16,12.48,1.05
2026-08-22T04:00:00+00:00,1.18,12.25,0.98
2026-08-22T05:00:00+00:00,1.23,12.33,1.17
2026-08-22T06:00:00+00:00,1.15,12.51,1.29
2026-08-22T07:00:00+00:00,1.18,12.31,0.95
2026-08-22T08:00:00+00:00,1.17,12.64,0.86
2026-08-22T09:00:00+00:00,1.23,11.72,1.00
2026-08-22T10:00:00+00:00,1.23,12.09,1.09
2026-08-22T11:00:00+00:00,1.18,12.48,0.94
2026-08-22T12:00:00+00:00,1.20,12.22,1.12
2026-08-22T13:00:00+00:00,1.12,12.28,0.97
2026-08-22T14:00:00+00:00,1.23,12.04,1.23
2026-08-22T15:00:00+00:00,1.21,12.76,0.92
2026-08-22T16:00:00+00:00,1.24,13.15,0.96
2026-08-22T17:00:00+00:00,1.13,12.09,1.11
2026-08-22T18:00:00+00:00,1.21,12.95,1.20
2026-08-22T19:00:00+00:00,1.19,11.91,1.24
2026-08-22T20:00:00+00:00,1.12,12.55,0.99
2026-08-22T21:00:00+00:00,1.18,11.69,1.10
2026-08-22T22:00:00+00:00,1.20,12.69,1.18
2026-08-22T23:00:00+00:00,1.22,12.50,1.31
